name,bus0,bus1,carrier,efficiency,build_year,p_nom,committable,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,p_nom_opt,bus2,efficiency2
Spl-Tis Abay I,B_Lake Tana,B_Tis Abay Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Tis Abay II,B_Lake Tana,B_Tis Abay Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Fincha,B_Fincha,B_Grand Renaissance Dam,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Trns-Beles Wenz River,B_Beles Discharge,B_Grand Renaissance Dam,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Trns-Blue Nile River 2,B_Tis Abay Discharge,B_Grand Renaissance Dam,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Grand Renaissance Dam,B_Grand Renaissance Dam,B_Grand Renaissance Dam Discharge,water,0.8,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Tekeze,B_Tekeze,B_Tekeze Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Gibgel Gibe I,B_Gibgel Gibe I,B_Gibgel Gibe II,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Gibgel Gibe II,B_Gibgel Gibe II,B_Gibgel Gibe III,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Gibgel Gibe III,B_Gibgel Gibe III,B_Gibgel Gibe III Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Koka,B_Koka,B_Awash II,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Awash II,B_Awash II,B_Awash II Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Melka Wakena,B_Melka Wakena,B_Melka Wakena Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Spl-Genaledawa III,B_Genaledawa III,B_Genaledawa III Discharge,water,1.0,0,500.0,True,0,0,1,0,3.0,3.0,500.0,,
Gen-Awash II,B_Awash II,B_Awash II Discharge,water,1.0,0,0.6228,True,0,0,1,0,,,0.6228,B_Ethiopia,102.76172125883109
Gen-Fincha,B_Fincha,B_Grand Renaissance Dam,water,1.0,0,2.7324,True,0,0,1,0,,,2.7324,B_Ethiopia,49.04113599765773
Gen-Genaledawa III,B_Gibgel Gibe III,B_Genaledawa III Discharge,water,1.0,0,0.5036534759358289,True,0,0,1,0,,,0.5036534759358289,B_Ethiopia,504.31499460625673
Gen-Gibgel Gibe I,B_Gibgel Gibe I,B_Gibgel Gibe II,water,1.0,0,1.8864,True,0,0,1,0,,,1.8864,B_Ethiopia,97.54028837998304
Gen-Gibgel Gibe II,B_Gibgel Gibe II,B_Genaledawa III,water,1.0,0,3.6828,True,0,0,1,0,,,3.6828,B_Ethiopia,114.04366243075921
Gen-Gibgel Gibe III,B_Gibgel Gibe III,B_Gibgel Gibe III Discharge,water,1.0,0,3.708,True,0,0,1,0,,,3.708,B_Ethiopia,504.31499460625673
Gen-Grand Renaissance Dam,B_Grand Renaissance Dam,B_Grand Renaissance Dam Discharge,water,1.0,0,2.0695813953488376,True,0,0,1,0,,,2.0695813953488376,B_Ethiopia,362.3921251348435
Gen-Koka,B_Koka,B_Awash II,water,1.0,0,0.4176,True,0,0,1,0,,,0.4176,B_Ethiopia,102.96934865900383
Gen-Melka Wakena,B_Melka Wakena,B_Melka Wakena Discharge,water,1.0,0,1.4868,True,0,0,1,0,,,1.4868,B_Ethiopia,102.90556900726394
Gen-Tekeze/ TK5,B_Tekeze,B_Tekeze Discharge,water,1.0,0,0.7524,True,0,0,1,0,,,0.7524,B_Ethiopia,398.72408293460927
Gen-Tana Beles,B_Lake Tana,B_Grand Renaissance Dam,water,1.0,0,5.3604,True,0,0,1,0,,,5.3604,B_Ethiopia,85.8144914558615
Gen-Tis Abay I & II,B_Lake Tana,B_Grand Renaissance Dam,water,1.0,0,0.6552,True,0,0,1,0,,,0.6552,B_Ethiopia,129.73137973137972
