name,bus,carrier,e_nom,e_cyclic,build_year,e_nom_opt
Dam-Awash II,B_Awash II,water,0.0019,True,0,0.0019
Dam-Fincha,B_Fincha,water,0.00065,True,0,0.00065
Dam-Genaledawa III Dam,B_Genaledawa III,water,0.0023,True,0,0.0023
Dam-Gibgel Gibe I,B_Gibgel Gibe I,water,0.000717,True,0,0.000717
Dam-Gibgel Gibe II,B_Gibgel Gibe II,water,8.838719999999999e-05,True,0,8.838719999999999e-05
Dam-Gibgel Gibe III,B_Gibgel Gibe III,water,0.01175,True,0,0.01175
Dam-Grand Renaissance Dam,B_Grand Renaissance Dam,water,0.059199999999999996,True,0,0.059199999999999996
Dam-Koka,B_Koka,water,0.0019,True,0,0.0019
Dam-Melka Wakena,B_Melka Wakena,water,0.00075,True,0,0.00075
Dam-Tekeze,B_Tekeze,water,0.005343,True,0,0.005343
Dam-Beles,B_Lake Tana,water,0.00912,True,0,0.00912
Dam-Lake Tana,B_Lake Tana,water,0.010499999999999999,True,0,0.010499999999999999
