,B_Lake Tana,B_Grand Renaissance Dam,B_Grand Renaissance Dam Discharge,B_Gibgel Gibe II,B_Gibgel Gibe III,B_Gibgel Gibe III Discharge,B_Ethiopia,B_Genaledawa III Discharge
0,0.0,0.0,0.0,0.0,0.0,0.0,5.430100813441641e-13,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,5.998535002049721e-13,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,8.840705945090122e-13,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,8.840705945090122e-13,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,6.566969190657801e-13,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,4.704570066849101e-13,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,2.43083331241678e-13,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,5.430100813441641e-13,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,7.703837567873961e-13,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,7.255307465925398e-14,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,5.273004255457181e-13,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,7.703837567873961e-13,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,5.273004255457181e-13,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,1.29396493520062e-13,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,1.29396493520062e-13,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,5.998535002049721e-13,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,8.586464872450961e-13,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,1.7741363933510002e-12,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,3.759881295195555e-12,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,4.5146109073357366e-12,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,2.958078226811267e-12,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,2.714939384418358e-12,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,1.442734820500391e-12,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,4.2932324362254803e-13,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,5.841438444065261e-13,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,1.1428635815491361e-12,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,2.901234807950459e-12,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,4.602540570886049e-12,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,3.800959547106686e-12,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,5.01876318281802e-13,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,2.9992675010248604e-13,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,2.9992675010248604e-13,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,5.273004255457181e-13,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,2.9992675010248604e-13,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,3.979039320256561e-13,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,-4.547473508864641e-13,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,-3.979039320256561e-13,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053025658242404e-13,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,-3.410605131648481e-13,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404007e-13,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0
