,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrIn-Tekeze River,RvrIn-Genale River
0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001
1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001
2,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001
3,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001
4,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001
5,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
